category,message_pattern,description,severity,notes,example
syntax,expected ';' before '}' token,"A semicolon is missing before the closing brace, causing a syntax error.",error,Always end statements with a semicolon.,"{'code': 'int main() { return 0 }', 'error_output': ""error: expected ';' before '}' token""}"
syntax,expected primary-expression before '%s' token,The compiler expected an expression but encountered an unexpected token.,error,Check for missing expressions or incorrect operator usage.,"{'code': 'int main() { if (x) else y; }', 'error_output': ""error: expected primary-expression before 'else' token""}"
syntax,missing terminating %s character,A character or string literal is missing its closing quote.,error,Always close string and character literals with matching quotes.,"{'code': 'int main() { char* s = ""hello; return 0; }', 'error_output': 'error: missing terminating "" character'}"
syntax,stray '%s' in program,An invalid character was found in the source code.,error,Remove invalid characters or check for encoding issues.,"{'code': 'int main() { int x@ = 5; return 0; }', 'error_output': ""error: stray '@' in program""}"
semantic,'%s' was not declared in this scope,Identifier used without declaration or outside its scope.,error,Declare the function or variable before using it.,"{'code': 'int main() { foo(); }', 'error_output': ""error: 'foo' was not declared in this scope""}"
semantic,"return-statement with no value, in function returning '%s'",A return statement without a value in a function that expects a return value.,error,Add a return value or change the function return type to void.,"{'code': 'int foo() { return; }', 'error_output': ""error: return-statement with no value, in function returning 'int'""}"
semantic,void value not ignored as it ought to be,Trying to use the result of a void function as a value.,error,Don't assign void functions to variables or use them in expressions.,"{'code': 'void foo() {} int main() { int x = foo(); }', 'error_output': 'error: void value not ignored as it ought to be'}"
semantic,invalid conversion from '%s' to '%s',Attempting to convert between incompatible types.,error,Use explicit casts or ensure type compatibility.,"{'code': 'int main() { int* p = 10; }', 'error_output': ""error: invalid conversion from 'int' to 'int*'""}"
type,cannot convert '%s' to '%s' in initialization,Type mismatch during variable initialization.,error,Ensure the initializer type matches the variable type.,"{'code': 'int main() { double d = ""hello""; }', 'error_output': ""error: cannot convert 'const char*' to 'double' in initialization""}"
type,invalid operands of types '%s' and '%s' to binary '%s',Using incompatible types with a binary operator.,error,Overload the operator or use compatible types.,"{'code': 'struct S{}; int main() { S s1, s2; return s1 + s2; }', 'error_output': ""error: invalid operands of types 'S' and 'S' to binary 'operator+'""}"
type,"request for member '%s' in '%s', which is of non-class type '%s'",Trying to access a member of a non-class type.,error,Only class/struct types have members.,"{'code': 'int main() { int x; return x.size(); }', 'error_output': ""error: request for member 'size' in 'x', which is of non-class type 'int'""}"
linker,undefined reference to '%s',The linker cannot find the definition of a declared function or variable.,error,Provide the definition or link the required library.,"{'code': '// main.cpp\nvoid foo();\nint main() { foo(); return 0; }', 'error_output': ""error: undefined reference to 'foo'""}"
linker,multiple definition of '%s',The same symbol is defined in multiple translation units.,error,Use 'inline' for functions or 'extern' for variables with one definition.,"{'code': '// file1.cpp\nint global = 5;\n// file2.cpp\nint global = 10;', 'error_output': ""error: multiple definition of 'global'""}"
template,no matching function for call to '%s',No viable template function overload matches the arguments.,error,Provide the correct arguments or add missing template parameters.,"{'code': 'template<typename T> void foo(T t) {}\nint main() { foo(); }', 'error_output': ""error: no matching function for call to 'foo()'""}"
template,template argument deduction/substitution failed,The compiler cannot deduce template arguments from function arguments.,error,Check template parameter requirements and argument types.,"{'code': 'template<typename T> void foo(T* t) {}\nint main() { foo(5); }', 'error_output': ""error: no matching function for call to 'foo(int)'\nnote: template argument deduction/substitution failed""}"
template,expected '%s' before '%s',Missing template parameter in template specialization or instantiation.,error,Provide template arguments when using template classes.,"{'code': 'template<typename T> class A {};\nint main() { A a; }', 'error_output': ""error: invalid use of template-name 'A' without an argument list""}"
macro,"macro '%s' requires %s arguments, but only %s given",Incorrect number of arguments passed to a macro.,error,Check the macro definition for required arguments.,"{'code': '#define ADD(x, y) ((x) + (y))\nint main() { return ADD(5); }', 'error_output': 'error: macro ""ADD"" requires 2 arguments, but only 1 given'}"
macro,missing terminating %s character in macro invocation,Unclosed parenthesis in macro invocation.,error,Ensure all macro arguments are properly enclosed.,"{'code': '#define FOO(x) x\nint main() { FOO(5; return 0; }', 'error_output': ""error: missing terminating ')' character in macro invocation""}"
syntax,expected unqualified-id before '%s' token,Syntax error where an identifier was expected but another token found.,error,Variable names cannot start with numbers.,"{'code': 'int 123var = 5;', 'error_output': 'error: expected unqualified-id before numeric constant'}"
template,"dependent-name '%s' is parsed as a non-type, but instantiation yields a type",Template dependent name resolution ambiguity.,error,Use 'typename' keyword for dependent types: 'typename T::x y;',"{'code': 'template<typename T> void foo() { T::x y; }', 'error_output': ""error: dependent-name 'T::x' is parsed as a non-type, but instantiation yields a type""}"
macro,ISO C++ forbids declaration of '%s' with no type,"Missing type in variable declaration, often caused by macro issues.",error,Ensure macros expand to complete declarations.,"{'code': '#define VAR x\nint main() { VAR = 5; }', 'error_output': ""error: ISO C++ forbids declaration of 'VAR' with no type""}"
linker,undefined reference to `main',No main function found in the program.,error,Every executable must have exactly one main function.,"{'code': 'void foo() {}', 'error_output': ""error: undefined reference to `main'""}"
semantic,redefinition of '%s',The same entity is defined multiple times.,error,Use 'extern' for declarations and define only once.,"{'code': 'int x = 5;\nint x = 10;', 'error_output': ""error: redefinition of 'x'""}"
type,cannot bind non-const lvalue reference of type '%s' to an rvalue of type '%s',Trying to bind a non-const lvalue reference to a temporary.,error,Use const reference or pass by value.,"{'code': 'void foo(int& x) {}\nint main() { foo(5); }', 'error_output': ""error: cannot bind non-const lvalue reference of type 'int&' to an rvalue of type 'int'""}"
template,template instantiation depth exceeds maximum of %s,Excessive template recursion depth.,error,Reduce recursion depth or use iterative solutions.,"{'code': 'template<int N> struct Fact { enum { value = N * Fact<N-1>::value }; };\ntemplate<> struct Fact<0> { enum { value = 1 }; };\nint main() { return Fact<1000>::value; }', 'error_output': 'error: template instantiation depth exceeds maximum of 900'}"
semantic,passing '%s' as '%s' discards qualifiers,Losing const qualifier when passing arguments.,error,Add const to parameter type or remove const from argument.,"{'code': 'void foo(int* p) {}\nint main() { const int* p; foo(p); }', 'error_output': ""error: invalid conversion from 'const int*' to 'int*'""}"
type,invalid static_cast from type '%s' to type '%s',Invalid static cast between incompatible types.,error,static_cast requires related types or well-defined conversions.,"{'code': 'int main() { double d = 1.0; int* p = static_cast<int*>(&d); }', 'error_output': ""error: invalid static_cast from type 'double*' to type 'int*'""}"
template,type '%s' is not a direct base of '%s',Invalid base class in static_cast or dynamic_cast.,error,Classes must be related by inheritance for such casts.,"{'code': 'class A {}; class B {};\nint main() { A a; B* b = static_cast<B*>(&a); }', 'error_output': ""error: invalid static_cast from type 'A*' to type 'B*'""}"
macro,expected expression before '%s' token,Missing expression in macro or conditional.,error,Macros in #if must expand to valid expressions.,"{'code': '#define COND\nint main() { #if COND return 1; #endif }', 'error_output': ""error: expected expression before ';' token""}"
semantic,non-constant condition for static assertion,static_assert condition must be a constant expression.,error,Use constant expressions in static_assert.,"{'code': 'int main() { int x = 5; static_assert(x == 5); }', 'error_output': 'error: non-constant condition for static assertion'}"
type,function cannot return function type '%s',Functions cannot return other functions directly.,error,Return function pointers instead: int(*)(),"{'code': 'int() foo() { return nullptr; }', 'error_output': ""error: function cannot return function type 'int()'""}"
template,explicit specialization in non-namespace scope,Template specialization inside a class or function.,error,Move specializations to namespace scope.,"{'code': 'class C { template<typename T> void foo(); template<> void foo<int>(); };', 'error_output': 'error: explicit specialization in non-namespace scope'}"
semantic,deleted function '%s',Attempting to use a deleted function.,error,Deleted functions cannot be called.,"{'code': 'void foo() = delete;\nint main() { foo(); }', 'error_output': ""error: use of deleted function 'void foo()'""}"
type,invalid use of incomplete type '%s',Using a type that has been declared but not defined.,error,Provide complete type definition before use.,"{'code': 'class A;\nint main() { A a; }', 'error_output': ""error: aggregate 'A a' has incomplete type and cannot be defined""}"
linker,undefined reference to vtable for '%s',Virtual function table missing for polymorphic class.,error,Define all virtual functions or make them pure virtual.,"{'code': 'class Base { virtual void foo(); };\nint main() { Base b; }', 'error_output': ""error: undefined reference to 'vtable for Base'""}"
template,specialization of '%s' after instantiation,Template specialization appears after first use.,error,Declare specializations before first use.,"{'code': 'template<typename T> void foo() {}\nvoid bar() { foo<int>(); }\ntemplate<> void foo<int>() {}', 'error_output': ""error: specialization of 'void foo()' after instantiation""}"
semantic,call to implicitly-deleted default constructor of '%s',Default constructor is implicitly deleted.,error,Provide constructor or initialize const/reference members.,"{'code': 'class A { const int x; };\nint main() { A a; }', 'error_output': ""error: call to implicitly-deleted default constructor of 'A'""}"
type,binding reference of type '%s' to '%s' discards qualifiers,Losing const qualifier in reference binding.,error,Use const reference: const int& y = x;,"{'code': 'int main() { const int x = 5; int& y = x; }', 'error_output': ""error: binding reference of type 'int&' to 'const int' discards qualifiers""}"
macro,too many arguments provided to function-like macro invocation,Extra arguments in macro call.,error,Match macro call arguments to macro definition.,"{'code': '#define FOO(x) x\nint main() { FOO(1, 2); }', 'error_output': 'error: too many arguments provided to function-like macro invocation'}"
template,type/value mismatch at argument %d in template parameter list for '%s',Wrong kind of template argument (type vs non-type).,error,Use correct template argument types.,"{'code': 'template<typename T> class A {};\nint main() { A<5> a; }', 'error_output': ""error: type/value mismatch at argument 1 in template parameter list for 'template<class T> class A'""}"
semantic,use of deleted function '%s',Attempting to call a deleted function.,error,Deleted functions cannot be used.,"{'code': 'struct A { A() = delete; };\nint main() { A a; }', 'error_output': ""error: use of deleted function 'A::A()'""}"
type,cannot dynamic_cast '%s' (of type '%s') to type '%s' (source is not a pointer or reference),Invalid use of dynamic_cast.,error,dynamic_cast requires pointers or references to polymorphic types.,"{'code': 'class Base {};\nint main() { Base b; dynamic_cast<Base>(b); }', 'error_output': ""error: cannot dynamic_cast 'b' (of type 'Base') to type 'Base' (target is not a pointer or reference)""}"
template,template parameter '%s',Various template parameter errors.,error,Match template parameter kinds in declarations and definitions.,"{'code': 'template<int N> struct S {};\ntemplate<typename T> void foo(S<T> s) {}', 'error_output': ""error: template parameter 'T'""}"
semantic,redeclaration of '%s',Multiple declarations with different types.,error,Function declarations must have consistent types.,"{'code': 'int foo(); double foo();', 'error_output': ""error: conflicting declaration 'double foo()'""}"
type,invalid cast from type '%s' to type '%s',General invalid cast error.,error,Use appropriate cast for the conversion.,"{'code': 'int main() { int x = reinterpret_cast<int>(""hello""); }', 'error_output': ""error: invalid cast from type 'const char*' to type 'int'""}"
linker,undefined reference to `%s',Missing definition for declared entity.,error,Provide definition in some translation unit.,"{'code': 'extern int global;\nint main() { return global; }', 'error_output': ""error: undefined reference to `global'""}"
semantic,no match for '%s' (operand types are '%s' and '%s'),No matching operator for given operand types.,error,Define the operator or use compatible types.,"{'code': 'struct S{};\nint main() { S s; return s + s; }', 'error_output': ""error: no match for 'operator+' (operand types are 'S' and 'S')""}"
template,template argument for '%s' is not a constant expression,Non-constant expression used as template argument.,error,Template arguments must be constant expressions.,"{'code': 'template<int N> struct S {};\nint main() { int x = 5; S<x> s; }', 'error_output': ""error: the value of 'x' is not usable in a constant expression""}"
macro,expected identifier before '%s' token,Missing identifier in macro or declaration.,error,Macros should not conflict with variable names.,"{'code': '#define CONST 5\nint main() { int CONST = 10; }', 'error_output': 'error: expected identifier before numeric constant'}"
semantic,cannot call member function '%s' without object,Calling non-static member function without object.,error,Call member functions on objects: s.foo();,"{'code': 'struct S { void foo() {} };\nint main() { S::foo(); }', 'error_output': ""error: cannot call member function 'void S::foo()' without object""}"
type,invalid const_cast from type '%s' to type '%s',Invalid use of const_cast.,error,const_cast can only add/remove const/volatile qualifiers.,"{'code': 'int main() { int x = 5; const_cast<float>(x); }', 'error_output': ""error: invalid const_cast from type 'int' to type 'float'""}"
template,ambiguous template specialization '%s',Multiple template specializations match equally well.,error,Remove ambiguous specializations.,"{'code': 'template<typename T> void foo(T) {}\ntemplate<> void foo(int*) {}\ntemplate<> void foo(int*) {}', 'error_output': ""error: ambiguous template specialization 'foo<int>'""}"
semantic,expected class-name before '%s' token,Missing class name in inheritance or declaration.,error,Provide class name in declaration.,"{'code': 'class : public Base {};', 'error_output': ""error: expected class-name before '{' token""}"
type,array has incomplete element type '%s',Array of incomplete type.,error,Complete type definition required for arrays.,"{'code': 'class A;\nint main() { A arr[5]; }', 'error_output': ""error: array has incomplete element type 'A'""}"
linker,undefined reference to `%s::%s',Missing definition of class member.,error,Define all class member functions.,"{'code': 'class C { public: void foo(); };\nint main() { C c; c.foo(); }', 'error_output': ""error: undefined reference to `C::foo()'""}"
